AREA,AREASQ,TOT_POP
1,1.85,54991
2,3.53,71942
3,2.35,56362
4,2.57,39493
5,2.07,31867
6,3.16,94368
7,3.19,64116
8,2.72,80484
9,1.17,11187
10,4.29,37023
11,2.35,25448
12,3.21,18508
13,2.07,17931
14,1.93,51542
15,3.98,64124
16,3.23,53359
17,3.75,41932
18,0.99,13426
19,3.94,78743
20,1.17,25010
21,2.00,39262
22,3.23,73595
23,3.98,56323
24,4.57,81432
25,7.16,98514
26,1.28,18001
27,1.94,20567
28,5.75,54881
29,3.20,35912
30,4.40,79288
31,2.80,35769
32,1.58,29283
33,1.75,21390
34,0.99,13391
35,1.67,18238
36,0.60,5918
37,0.71,2876
38,1.73,21929
39,1.09,17841
40,1.48,11717
41,1.65,25681
42,2.07,25983
43,2.97,49767
44,2.97,31028
45,2.97,10185
46,3.34,31198
47,0.62,2916
48,1.77,13812
49,4.86,44619
50,4.86,7325
51,8.89,15109
52,2.80,23042
53,3.58,29651
54,3.36,6482
55,4.78,9426
56,4.23,34513
57,4.23,13393
58,2.72,45368
59,1.40,15612
60,2.10,31977
61,4.86,44377
62,1.18,18109
63,2.24,39894
64,2.56,23139
65,2.98,33355
66,3.49,55628
67,3.15,35505
68,3.09,30654
69,3.56,32602
70,4.87,41081
71,3.77,48743
72,3.20,20034
73,2.87,26493
74,2.73,19093
75,3.19,22544
76,19.21,12756
77,1.71,56521
