AREA,0_4,5_12,13_19,20_29,30_39,40_49,50_59,60_69,70_OVER
Chicago,185887,264497,248979,499166,439920,349493,311486,203308,192862
1,3737,4266,4311,11823,10425,7805,6254,3624,2746
2,5716,8005,6284,10431,10651,9876,9241,5885,5853
3,2888,2791,2427,12368,12403,8495,6761,4049,4180
4,2610,2581,1977,7877,9459,5638,4367,2673,2311
5,2876,2382,1031,6777,8222,4572,2688,1798,1521
6,4369,3055,1910,36433,21697,10379,6584,5289,4652
7,3183,3065,3887,22208,11797,7083,5307,4401,3185
8,2647,2128,2067,23195,15882,9243,9242,8799,7281
9,648,1122,786,1239,1479,1808,1682,1026,1397
10,2080,3465,2692,3586,4672,5538,5614,3747,5629
11,1540,2223,1944,3196,3811,3869,3677,2513,2675
12,1139,2239,1472,1448,2031,3053,2862,2076,2188
13,1051,1660,1718,2575,2231,2255,2205,1818,2418
14,4224,5553,4749,9929,9308,6720,5255,3109,2695
15,4436,6149,5642,9515,9650,9176,9188,5472,4896
16,3985,5156,4285,8885,9842,7934,6385,3821,3066
17,2352,3698,3353,5566,5808,5928,6477,4185,4565
18,998,1423,1225,1905,1955,1732,1785,1185,1218
19,6840,10220,8938,12899,12366,10232,8493,5005,3750
20,2227,3287,2902,4237,3932,3252,2704,1459,1010
21,3197,4073,3440,7755,7235,5082,4021,2516,1943
22,5425,6235,5165,18104,16718,9041,6322,3756,2829
23,4986,7353,6978,9315,8177,6985,6205,3731,2593
24,5261,4563,3971,22773,21660,9364,6465,3855,3520
25,7331,11316,11685,13900,12315,12761,13454,8853,6899
26,1433,2294,2575,2555,2117,2287,2250,1186,1304
27,1537,2659,2688,3041,2923,2632,2462,1373,1252
28,3048,2705,4104,16354,12912,5849,4528,3037,2344
29,3080,5018,4950,5397,4541,4326,4120,2192,2288
30,7255,10282,9202,15676,13544,10117,7006,3661,2545
31,2719,4284,3715,7608,6225,4314,3301,1965,1638
32,830,454,2860,10095,5513,2993,2807,2310,1421
33,1405,926,609,4500,5803,2868,2347,1679,1253
34,620,955,1100,2175,1596,1850,1869,1341,1885
35,806,1189,1620,4308,2276,1918,2292,1795,2034
36,488,826,693,749,941,810,651,431,329
37,172,301,342,341,333,332,373,355,327
38,1507,2369,2341,2751,3465,2908,2610,1936,2042
39,1023,1545,1289,3064,2486,2252,2302,1920,1960
40,994,1771,1664,1733,1632,1505,1271,611,536
41,982,1301,2045,7633,3801,2680,2761,2244,2234
42,1741,2936,3370,3795,3608,3268,3223,2094,1948
43,3322,5083,4964,6999,6321,6816,7271,4671,4320
44,1739,2910,3106,3612,3513,4142,5031,3120,3855
45,506,967,1023,1044,1091,1431,1560,1140,1423
46,2318,3851,3781,4294,3738,3815,3904,2706,2791
47,161,367,353,321,356,322,366,315,355
48,592,1239,1287,1288,1462,1869,1947,1882,2246
49,2725,4788,5426,5310,4879,5676,6044,4528,5243
50,476,816,786,911,938,991,940,733,734
51,1060,1915,1771,1818,1832,1866,1983,1443,1421
52,1903,3181,2776,3228,3182,2884,2664,1493,1731
53,2063,3579,3858,3640,3495,3700,3680,3182,2454
54,646,1213,1102,881,848,692,531,297,272
55,607,1071,939,1140,1201,1240,1286,907,1035
56,2219,3601,3150,4375,4655,4740,4760,3063,3950
57,1153,1730,1526,2138,2243,1568,1336,830,869
58,4481,6869,5541,7568,7158,5645,4173,2158,1775
59,1218,1907,1588,2614,2432,2081,1854,1047,871
60,1956,2941,2658,5917,4764,4538,4391,2546,2266
61,4291,6738,5830,6850,6671,5363,4382,2309,1943
62,1549,2527,2012,2864,2922,2221,1829,1107,1078
63,4001,6308,5301,6539,6394,4922,3333,1824,1272
64,1606,2570,2088,3197,3598,3164,3022,1835,2059
65,2879,4758,3848,5192,5473,4069,3404,1914,1818
66,4951,7881,7166,8891,7873,7203,6016,3283,2364
67,2676,4442,4867,5030,3866,4463,4190,2919,3052
68,2414,3943,4174,4555,3430,3687,3712,2189,2550
69,2496,3899,3720,4318,3747,4106,4571,2674,3071
70,2782,5386,4789,5276,5400,6118,5568,2978,2784
71,3108,5403,5731,6092,5470,6337,6329,4886,5387
72,1196,2342,2026,1887,2243,3055,3415,2262,1608
73,1397,2595,3035,2825,2891,3548,3586,2810,3806
74,1240,2023,2038,2629,2567,2854,2786,1432,1524
75,1258,2314,2573,2430,2524,3136,3486,2133,2690
76,912,812,569,2180,2573,1707,1690,1115,1198
77,2600,2705,3571,11599,10728,8794,7035,4802,4687
