AREA,0_4,5_12,13_19,20_29,30_39,40_49,50_59,60_69,70_OVER
0,0,0,0,0,0,0,0,0,0
1,29145,37422,32500,78251,79771,65558,56643,36437,37977
2,20838,29933,26345,43007,43553,38254,35032,21127,18505
3,19050,18810,15433,91277,65669,36157,24922,17760,14130
4,36650,50474,49868,96619,84414,58635,49791,29853,24383
5,4882,3508,5536,37790,27198,15104,14396,12788,9955
6,16107,25116,25806,43783,34970,32983,33585,22618,22952
7,33438,53274,47091,59813,56715,49126,42011,24478,23601
8,10981,20063,20192,21139,21095,25048,25170,16501,17799
9,14796,25897,26208,27487,26535,28628,29936,21746,23560
