AREA,LATINO,WHITE,BLACK,ASIAN,TOTAL
Chicago,778862,854717,872286,144903,2695598
1,13433,21618,14461,3523,54991
2,14701,30706,8015,16184,71942
3,8009,29098,11275,6414,56362
4,7562,24916,1488,4399,39493
5,4330,24634,738,1449,31867
6,7198,75845,3651,5653,94368
7,3571,53138,2753,3296,64116
8,3974,58033,8732,8140,80484
9,872,9885,29,269,11187
10,4442,30157,164,1696,37023
11,4927,17475,265,2256,25448
12,2126,13815,137,1989,18508
13,3224,8847,573,4600,17931
14,25487,15054,2076,7430,51542
15,24861,34329,856,2972,64124
16,24332,22234,1736,3736,53359
17,9997,29512,308,1587,41932
18,7248,5041,598,377,13426
19,62101,11959,2493,1537,78743
20,21860,1913,757,294,25010
21,25295,11166,991,1194,39262
22,37340,29175,3913,1904,73595
23,30046,2502,23030,222,56323
24,23856,46390,6391,3030,81432
25,8722,4364,83837,573,98514
26,348,133,17315,8,18001
27,850,698,18696,83,20567
28,5048,23042,17303,8022,54881
29,2144,492,32835,74,35912
30,65457,3056,10374,113,79288
31,29486,4447,1108,371,35769
32,2010,18359,3361,4658,29283
33,1202,10281,6015,3307,21390
34,464,1642,1419,9721,13391
35,465,1810,13247,2313,18238
36,87,122,5567,35,5918
37,132,47,2651,7,2876
38,395,391,20645,57,21929
39,542,2942,12821,973,17841
40,104,87,11370,12,11717
41,1626,11992,7815,3185,25681
42,543,1707,22654,567,25983
43,854,640,47289,101,49767
44,311,112,30160,27,31028
45,153,81,9751,19,10185
46,6774,599,23296,67,31198
47,20,19,2849,0,2916
48,569,126,12897,26,13812
49,458,188,43447,27,44619
50,571,522,6122,5,7325
51,4809,725,9354,18,15109
52,18076,3969,777,53,23042
53,1509,166,27593,14,29651
54,132,32,6251,2,6482
55,4671,4235,364,48,9426
56,13515,18372,2040,346,34513
57,10182,2874,130,138,13393
58,38693,3682,542,2252,45368
59,10111,2667,234,2445,15612
60,8627,11225,672,11038,31977
61,25431,4697,13148,727,44377
62,14314,3250,255,222,18109
63,35589,1892,2161,121,39894
64,10484,11921,282,212,23139
65,26669,4924,1390,210,33355
66,25141,2419,27403,190,55628
67,774,130,34178,19,35505
68,325,105,29847,34,30654
69,388,180,31590,21,32602
70,15132,6251,18976,276,41081
71,459,134,47661,33,48743
72,915,11785,6838,112,20034
73,258,121,25793,12,26493
74,1382,16413,987,126,19093
75,619,6473,15039,92,22544
76,1212,9845,403,1058,12756
77,9318,30889,8104,6582,56521
