AREA,NOT_HISPANIC,HISPANIC,TOTAL
Chicago,1916736,778862,2695598
01,41558,13433,54991
02,57241,14701,71942
03,48353,8009,56362
04,31931,7562,39493
05,27537,4330,31867
06,87170,7198,94368
07,60545,3571,64116
08,76510,3974,80484
09,10315,872,11187
10,32581,4442,37023
11,20521,4927,25448
12,16382,2126,18508
13,14707,3224,17931
14,26055,25487,51542
15,39263,24861,64124
16,29027,24332,53359
17,31935,9997,41932
18,6178,7248,13426
19,16642,62101,78743
20,3150,21860,25010
21,13967,25295,39262
22,36255,37340,73595
23,26277,30046,56323
24,57576,23856,81432
25,89792,8722,98514
26,17653,348,18001
27,19717,850,20567
28,49833,5048,54881
29,33768,2144,35912
30,13831,65457,79288
31,6283,29486,35769
32,27273,2010,29283
33,20188,1202,21390
34,12927,464,13391
35,17773,465,18238
36,5831,87,5918
37,2744,132,2876
38,21534,395,21929
39,17299,542,17841
40,11613,104,11717
41,24055,1626,25681
42,25440,543,25983
43,48913,854,49767
44,30717,311,31028
45,10032,153,10185
46,24424,6774,31198
47,2896,20,2916
48,13243,569,13812
49,44161,458,44619
50,6754,571,7325
51,10300,4809,15109
52,4966,18076,23042
53,28142,1509,29651
54,6350,132,6482
55,4755,4671,9426
56,20998,13515,34513
57,3211,10182,13393
58,6675,38693,45368
59,5501,10111,15612
60,23350,8627,31977
61,18946,25431,44377
62,3795,14314,18109
63,4305,35589,39894
64,12655,10484,23139
65,6686,26669,33355
66,30487,25141,55628
67,34731,774,35505
68,30329,325,30654
69,32214,388,32602
70,25949,15132,41081
71,48284,459,48743
72,19119,915,20034
73,26235,258,26493
74,17711,1382,19093
75,21925,619,22544
76,11544,1212,12756
77,47203,9318,56521
