AREA,TOT_BACHELOR
1,14179
2,16408
3,21689
4,15725
5,16468
6,56014
7,35002
8,46916
9,3206
10,8009
11,5558
12,6512
13,4950
14,8764
15,9750
16,12358
17,6872
18,1320
19,4808
20,1316
21,5247
22,20534
23,2764
24,33592
25,6598
26,745
27,1500
28,19864
29,1816
30,2122
31,4094
32,12017
33,9811
34,1773
35,4422
36,1001
37,156
38,3559
39,6379
40,847
41,12276
42,4228
43,7468
44,5368
45,1828
46,2694
47,239
48,3336
49,4974
50,876
51,1345
52,1374
53,2517
54,151
55,1116
56,3975
57,815
58,2102
59,1192
60,4960
61,1729
62,1422
63,1246
64,2421
65,1547
66,2844
67,1352
68,1282
69,3733
70,5287
71,4519
72,7857
73,3073
74,3466
75,4558
76,3154
77,23145
