AREA,HOUSEHOLDS_OVER_100K
1,3291
2,4487
3,5501
4,4219
5,6004
6,18522
7,14026
8,18850
9,1551
10,3923
11,2577
12,3010
13,1541
14,2732
15,3989
16,4111
17,3406
18,721
19,2449
20,680
21,2082
22,6566
23,1229
24,10872
25,3010
26,293
27,449
28,6868
29,521
30,1054
31,813
32,4701
33,3926
34,508
35,983
36,352
37,9
38,1068
39,1828
40,218
41,2685
42,1007
43,1389
44,1586
45,572
46,765
47,49
48,1195
49,1648
50,166
51,465
52,927
53,1141
54,34
55,731
56,2730
57,409
58,935
59,490
60,1610
61,863
62,598
63,596
64,1470
65,939
66,1305
67,326
68,526
69,950
70,2850
71,1595
72,3246
73,1208
74,2297
75,1931
76,708
77,5198
